POS	Word	SenseKey	Sense Number	Total Senses	BNC Count	Tag Count	Sum Tag Count	Synset	Gloss
n	review	review%1:10:00::	7	10	7877	0	7	SID-06481048-N----{recapitulation, recap, review}	a summary at the end that repeats the substance of a longer discussion
n	review	review%1:10:01::	2	10	7877	2	7	SID-06422034-N----{review, critique, critical_review, review_article}	an essay or article that gives a critical evaluation (as of a book or play)
n	route	route%1:15:00::	1	2	7851	11	13	SID-08633886-N----{path, route, itinerary}	an established line of travel or access
n	telephone	telephone%1:06:00::	1	2	7842	18	19	SID-04408223-N----{telephone, phone, telephone_set}	electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds; "I talked to him on the telephone"
n	proportion	proportion%1:24:00::	1	5	7822	9	17	SID-13837954-N----{proportion}	the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n	proportion	proportion%1:07:00::	2	5	7822	7	17	SID-05098398-N----{proportion, dimension}	magnitude or extent; "a building of vast proportions"
n	consideration	consideration%1:09:00::	1	6	7808	17	30	SID-05792836-N----{consideration}	the process of giving careful thought to something
n	consideration	consideration%1:07:00::	4	6	7808	1	30	SID-04848589-N----{consideration, considerateness, thoughtfulness}	kind and considerate regard for others; "he showed no consideration for her feelings"
n	driver	driver%1:18:00::	1	5	7806	17	17	SID-10054631-N----{driver}	the operator of a motor vehicle
n	reform	reform%1:04:00::	1	3	7806	3	4	SID-00261465-N----{reform}	a change for the better as a result of correcting abuses; "justice was for sale before the reform of the law courts"
n	distance	distance%1:12:00::	4	6	7692	4	82	SID-07521110-N----{distance, aloofness}	indifference by personal withdrawal; "emotional distance"
n	distance	distance%1:07:00::	1	6	7692	54	82	SID-05091408-N----{distance}	the property created by the space between two objects or points
n	exercise	exercise%1:04:00::	1	6	7686	26	33	SID-00625978-N----{exercise, exercising, physical_exercise, physical_exertion, workout}	the activity of exerting your muscles in various ways to keep fit; "the doctor recommended regular exercise"; "he did some exercising"; "the physical exertion required by his work kept him fit"
n	skin	skin%1:08:00::	1	8	7668	11	19	SID-05245612-N----{skin, tegument, cutis}	a natural protective body covering and site of the sense of touch; "your skin is the largest organ of your body"
n	skin	skin%1:13:00::	7	8	7668	0	19	SID-07754329-N----{peel, skin}	the rind of a fruit or vegetable
n	skin	skin%1:05:01::	3	8	7668	3	19	SID-01898376-N----{hide, pelt, skin}	body covering of a living animal
n	island	island%1:17:00::	1	2	7649	13	15	SID-09339360-N----{island}	a land mass (smaller than a continent) that is surrounded by water
n	danger	danger%1:26:00::	1	4	7637	18	33	SID-14564367-N----{danger}	the condition of being susceptible to harm or injury; "you are in no danger"; "there was widespread danger of disease"
n	credit	credit%1:21:00::	5	9	7634	2	22	SID-13395454-N----{credit, deferred_payment}	arrangement for deferred payment for goods and services
n	credit	credit%1:10:00::	1	9	7634	7	22	SID-06701019-N----{recognition, credit}	approval; "give her recognition for trying"; "he was given credit for his work"; "give her credit for trying"
n	credit	credit%1:21:02::	2	9	7634	5	22	SID-13399691-N----{credit}	money available for a client to borrow
n	credit	credit%1:04:00::	6	9	7634	1	22	SID-00066675-N----{credit, course_credit}	recognition by a college or university that a course of studies has been successfully completed; typically measured in semester hours
n	candidate	candidate%1:18:01::	1	2	7618	20	25	SID-09909143-N----{campaigner, candidate, nominee}	a politician who is running for public office
n	track	track%1:06:04::	7	11	7616	0	9	SID-04471446-N----{track, data_track}	(computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data
n	track	track%1:09:00::	2	11	7616	1	9	SID-05835238-N----{lead, track, trail}	evidence pointing to a possible solution; "the police are following a promising lead"; "the trail led straight to the perpetrator"
n	track	track%1:06:05::	4	11	7616	1	9	SID-04044101-N----{racetrack, racecourse, raceway, track}	a course over which races are run
n	assessment	assessment%1:09:00::	1	4	7602	4	4	SID-05741528-N----{appraisal, assessment}	the classification of someone or something with respect to its worth
n	assessment	assessment%1:04:00::	4	4	7602	0	4	SID-00875745-N----{judgment, judgement, assessment}	the act of judging or assessing a person or situation or event; "they criticized my judgment of the contestants"
n	path	path%1:15:00::	3	4	7596	3	21	SID-08633886-N----{path, route, itinerary}	an established line of travel or access
n	district	district%1:15:00::	1	1	7574	38	38	SID-08569713-N----{district, territory, territorial_dominion, dominion}	a region marked off for administrative or other purposes
n	reaction	reaction%1:19:01::	5	7	7565	0	55	SID-11437243-N----{reaction}	a response that reveals a person's feelings or attitude; "he was pleased by the audience's reaction to his performance"; "John feared his mother's reaction when she saw the broken lamp"
n	reaction	reaction%1:22:00::	1	7	7565	38	55	SID-13468534-N----{chemical_reaction, reaction}	(chemistry) a process in which one or more substances are changed into others; "there was a chemical reaction of the lime with the ground water"
n	reaction	reaction%1:19:00::	4	7	7565	0	55	SID-11518861-N----{reaction}	(mechanics) the equal and opposite force that is produced when any force is applied to a body; "every action has an equal and opposite reaction"
n	impact	impact%1:11:00::	1	4	7557	11	18	SID-07353152-N----{impact}	the striking of one body against another
n	impact	impact%1:19:00::	2	4	7557	6	18	SID-11434525-N----{impact, wallop}	a forceful consequence; a strong effect; "the book had an important impact on my thinking"; "the book packs a wallop"
n	debate	debate%1:10:00::	2	2	7520	5	22	SID-07256764-N----{debate, disputation, public_debate}	the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)
n	rise	rise%1:07:01::	6	10	7512	1	15	SID-05076087-N----{upgrade, rise, rising_slope}	the property possessed by a slope or surface that rises
n	rise	rise%1:07:02::	5	10	7512	1	15	SID-05117485-N----{raise, rise, wage_hike, hike, wage_increase, salary_increase}	the amount a salary is increased; "he got a 3% raise"; "he got a wage hike"
n	belief	belief%1:09:00::	1	2	7509	19	25	SID-05950141-N----{belief}	any cognitive content held as true
n	conclusion	conclusion%1:11:00::	4	9	7498	1	38	SID-07306035-N----{ending, conclusion, finish}	event whose occurrence ends something; "his death marked the ending of an era"; "when these final episodes are broadcast it will be the finish of the show"
n	vote	vote%1:04:00::	1	5	7493	13	17	SID-00184354-N----{vote, ballot, voting, balloting}	a choice that is made by counting the number of people in favor of each alternative; "there were only 17 votes in favor of the motion"; "they allowed just one vote per person"
n	vote	vote%1:07:00::	3	5	7493	1	17	SID-05193574-N----{right_to_vote, vote, suffrage}	a legal right guaranteed by the 15th amendment to the US Constitution; guaranteed to women by the 19th amendment; "American women got the vote in 1920"
n	politics	politics%1:24:00::	1	5	7456	21	29	SID-13862918-N----{politics, political_relation}	social relations involving intrigue to gain authority or power; "office politics is often counterproductive"
n	file	file%1:06:00::	4	4	7426	1	20	SID-03341784-N----{file}	a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal
n	file	file%1:10:00::	1	4	7426	17	20	SID-06520807-N----{file, data_file}	a set of related records (either written or electronic) kept together
n	file	file%1:14:00::	2	4	7426	1	20	SID-08445713-N----{file, single_file, Indian_file}	a line of persons or things ranged one behind the other
n	file	file%1:06:01::	3	4	7426	1	20	SID-03342085-N----{file, file_cabinet, filing_cabinet}	office furniture consisting of a container for keeping papers in order
n	public	public%1:14:01::	2	2	7411	4	39	SID-07982431-N----{public}	a body of people sharing some common interest; "the reading public"
n	estate	estate%1:21:02::	1	3	7396	9	11	SID-13271829-N----{estate}	everything you own; all of your assets (whether real property or personal property) and liabilities
n	boat	boat%1:06:00::	1	2	7373	14	14	SID-02861626-N----{boat}	a small vessel for travel on water
n	prison	prison%1:06:00::	1	2	7368	3	3	SID-04012006-N----{prison, prison_house}	a correctional institution where persons are confined while on trial or for punishment
n	wine	wine%1:13:00::	1	2	7341	9	11	SID-07907701-N----{wine, vino}	fermented juice (of grapes especially)
n	writer	writer%1:18:00::	1	2	7309	36	41	SID-10813654-N----{writer, author}	writes (books or stories or articles or the like) professionally (for pay)
n	clothes	clothes%1:06:00::	1	1	7308	44	44	SID-02731365-N----{apparel, wearing_apparel, dress, clothes}	clothing in general; "she was refined in her choice of apparel"; "he always bought his clothes at the same store"; "fastidious about his dress"
n	weekend	weekend%1:28:00::	1	1	7308	13	13	SID-15195551-N----{weekend}	a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
n	sight	sight%1:09:00::	3	7	7289	6	42	SID-05662207-N----{sight, vision, visual_sense, visual_modality}	the ability to see; the visual faculty
n	video	video%1:06:00::	2	4	7288	1	2	SID-04541422-N----{video_recording, video}	a recording of both the visual and audible components (especially one containing a recording of a movie or television program)
n	reality	reality%1:26:01::	2	4	7280	14	39	SID-13978747-N----{reality, realness, realism}	the state of being actual or real; "the reality of his situation slowly dawned on him"
n	hall	hall%1:06:01::	13	13	7258	0	46	SID-03483839-N----{hall}	a large building for meetings or entertainment
n	hall	hall%1:06:04::	4	13	7258	3	46	SID-03229596-N----{dormitory, dorm, residence_hall, hall, student_residence}	a college or university building containing living quarters for students
n	hall	hall%1:06:03::	1	13	7258	25	46	SID-03485035-N----{hallway, hall}	an interior passage or corridor onto which rooms open; "the elevators were at the end of the hall"
n	hall	hall%1:06:02::	3	13	7258	6	46	SID-03483990-N----{hall}	a large room for gatherings or entertainment; "lecture hall"; "pool hall"
n	vehicle	vehicle%1:06:00::	1	4	7229	9	15	SID-04531608-N----{vehicle}	a conveyance that transports people or objects
n	colleague	colleague%1:18:00::	1	2	7209	7	8	SID-09955673-N----{colleague, co-worker, fellow_worker, workfellow}	an associate that one works with
n	lead	lead%1:27:00::	2	17	7197	6	21	SID-14667645-N----{lead, Pb, atomic_number_82}	a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey; "the children were playing with lead soldiers"
n	lead	lead%1:07:02::	1	17	7197	7	21	SID-05164526-N----{lead}	an advantage held by a competitor in a race; "he took the lead at the last turn"
n	lead	lead%1:04:01::	4	17	7197	3	21	SID-01259362-N----{lead}	a position of being the initiator of something and an example that others will follow (especially in the phrase `take the lead'); "he takes the lead in any group"; "we were just waiting for someone to take the lead"; "they didn't follow our lead"
n	lead	lead%1:06:03::	13	17	7197	0	21	SID-03658258-N----{leash, tether, lead}	restraint consisting of a rope (or light chain) used to restrain an animal
n	farm	farm%1:06:00::	1	1	7189	49	49	SID-03327044-N----{farm}	workplace consisting of farm buildings and cultivated land as a unit; "it takes several people to work the farm"
n	employer	employer%1:18:00::	1	1	7180	14	14	SID-10074465-N----{employer}	a person or firm that employs workers
n	understanding	understanding%1:09:03::	3	4	7175	1	42	SID-06208877-N----{sympathy, understanding}	an inclination to support or be loyal to or to agree with an opinion; "his sympathies were always with the underdog"; "I knew I could count on his understanding"
n	comment	comment%1:10:00::	1	3	7172	24	30	SID-06777755-N----{remark, comment, input}	a statement that expresses a personal opinion or belief or adds information; "from time to time she contributed a personal comment on his account"; "we would appreciate input from our users on how we can improve our software"
n	comment	comment%1:10:02::	3	3	7172	0	30	SID-07237830-N----{gossip, comment, scuttlebutt}	a report (often malicious) about the behavior of other people; "the divorce caused much gossip"
n	connection	connection%1:26:00::	2	9	7172	11	32	SID-14442568-N----{connection, link, connectedness}	the state of being connected; "the connection between church and state is inescapable"
n	connection	connection%1:18:01::	4	9	7172	2	32	SID-09975626-N----{connection}	(usually plural) a person who is influential and to whom you are connected in some way (as by family or friendship); "he has powerful connections"
n	connection	connection%1:04:01::	8	9	7172	0	32	SID-00317815-N----{connection, connexion}	shifting from one form of transportation to another; "the plane was late and he missed his connection in Atlanta"
n	hole	hole%1:26:00::	7	8	7135	0	30	SID-14432893-N----{fix, hole, jam, mess, muddle, pickle, kettle_of_fish}	informal terms for a difficult situation; "he got into a terrible fix"; "he made a muddle of his marriage"
n	hole	hole%1:17:01::	1	8	7135	12	30	SID-09327371-N----{hole}	an opening into or through something
n	insurance	insurance%1:26:00::	3	3	7122	0	9	SID-14563428-N----{indemnity, insurance}	protection against future loss
n	content	content%1:23:00::	4	7	7116	2	28	SID-13801586-N----{capacity, content}	the amount that can be contained; "the gas tank has a capacity of 12 gallons"
n	confidence	confidence%1:12:00::	2	5	7101	6	22	SID-07541744-N----{confidence}	a feeling of trust (in someone or something); "I have confidence in our team"; "confidence is always borrowed, never owned"
n	sample	sample%1:09:00::	1	3	7099	48	61	SID-05830135-N----{sample}	a small part of something intended as representative of the whole
n	transport	transport%1:04:00::	3	6	7088	1	5	SID-01107164-N----{transportation, shipping, transport}	the commercial enterprise of moving goods and materials
n	transport	transport%1:26:00::	4	6	7088	0	5	SID-14009857-N----{ecstasy, rapture, transport, exaltation, raptus}	a state of being carried away by overwhelming emotion; "listening to sweet music in a perfect rapture"- Charles Dickens
n	flower	flower%1:20:00::	1	3	7086	31	39	SID-11690372-N----{flower}	a plant cultivated for its blooms or blossoms
n	injury	injury%1:26:00::	1	5	7084	13	20	SID-14309164-N----{injury, hurt, harm, trauma}	any physical damage to the body caused by violence or accident or fracture etc.
n	battle	battle%1:04:00::	1	3	7063	73	81	SID-00955670-N----{battle, conflict, fight, engagement}	a hostile meeting of opposing military forces in the course of a war; "Grant won a decisive victory in the battle of Chickamauga"; "he lost his romantic ideas about war when he got into a real engagement"
n	generation	generation%1:14:01::	1	7	7050	8	21	SID-08386333-N----{coevals, contemporaries, generation}	all the people living at the same time or of approximately the same age
n	winter	winter%1:28:00::	1	1	7047	24	24	SID-15262579-N----{winter, wintertime}	the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
n	will	will%1:10:00::	3	3	6995	6	26	SID-06556133-N----{will, testament}	a legal document declaring a person's wishes regarding the disposal of their property when they die
n	will	will%1:09:00::	1	3	6995	11	26	SID-05660438-N----{volition, will}	the capability of conscious choice and decision and intention; "the exercise of their volition we construe as revolt"- George Meredith
n	progress	progress%1:04:01::	1	3	6987	24	35	SID-00250368-N----{advancement, progress}	gradual improvement or growth or development; "advancement of knowledge"; "great progress in the arts"
n	legislation	legislation%1:04:00::	2	2	6974	2	12	SID-01128014-N----{legislation, legislating, lawmaking}	the act of making or enacting laws
n	volume	volume%1:10:00::	4	6	6974	4	51	SID-06425309-N----{volume}	a publication that is one of a set of several similar publications; "the third volume was missing"; "he asked for the 1989 volume of the Annual Review"
n	volume	volume%1:07:02::	6	6	6974	1	51	SID-04997456-N----{volume, loudness, intensity}	the magnitude of sound (usually in a specified direction); "the kids played their music at full volume"
n	volume	volume%1:23:00::	1	6	6974	25	51	SID-13801244-N----{volume}	the amount of 3-dimensional space occupied by an object; "the gas expanded to twice its original volume"
n	commitment	commitment%1:04:00::	2	5	6970	2	5	SID-01208643-N----{commitment, allegiance, loyalty, dedication}	the act of binding yourself (intellectually or emotionally) to a course of action; "his long commitment to public service"; "they felt no loyalty to a losing team"
n	conflict	conflict%1:26:00::	4	7	6956	2	18	SID-14004330-N----{conflict}	a state of opposition between persons or ideas or interests; "his conflict of interest made him ineligible for the post"; "a conflict of loyalties"
n	conflict	conflict%1:07:00::	5	7	6956	2	18	SID-04721955-N----{conflict}	an incompatibility of dates or events; "he noticed a conflict in the dates of the two meetings"
n	bag	bag%1:06:02::	4	9	6955	2	16	SID-02777157-N----{bag, handbag, pocketbook, purse}	a container used for carrying money and small personal items or accessories (especially by women); "she reached into her bag and found a comb"
n	bag	bag%1:06:01::	6	9	6955	1	16	SID-02776843-N----{bag, traveling_bag, travelling_bag, grip, suitcase}	a portable rectangular container for carrying clothes; "he carried his small bag onto the plane with him"
n	entry	entry%1:06:00::	5	6	6938	1	19	SID-03295682-N----{entrance, entranceway, entryway, entry, entree}	something that provides access (to get in or get out); "they waited at the entrance to the garden"; "beggars waited just outside the entryway to the cathedral"
n	entry	entry%1:10:00::	4	6	6938	1	19	SID-07182229-N----{submission, entry}	something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition); "several of his submissions were rejected by publishers"; "what was the date of submission of your proposal?"
n	smile	smile%1:10:00::	1	1	6937	29	29	SID-06891121-N----{smile, smiling, grin, grinning}	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
n	introduction	introduction%1:10:02::	4	7	6925	1	7	SID-06426492-N----{introduction}	a basic or elementary instructional text
n	introduction	introduction%1:10:00::	2	7	6925	2	7	SID-06408573-N----{introduction}	the first section of a communication
n	introduction	introduction%1:10:01::	3	7	6925	1	7	SID-07232009-N----{presentation, introduction, intro}	formally making a person known to another or to the public
n	manner	manner%1:07:01::	2	3	6924	17	73	SID-04917312-N----{manner, personal_manner}	a way of acting or behaving
n	background	background%1:07:00::	1	8	6923	8	23	SID-04928594-N----{background}	a person's social heritage: previous experience or training; "he is a lawyer with a sports background"
n	background	background%1:26:00::	6	8	6923	1	23	SID-14536861-N----{setting, background, scope}	the state of the environment in which a situation exists; "you can't do that in a university setting"
n	key	key%1:10:02::	11	15	6922	0	21	SID-06504179-N----{key}	a list of words or phrases that explain symbols or abbreviations
n	key	key%1:06:00::	1	15	6922	14	21	SID-03618503-N----{key}	metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated
n	key	key%1:10:00::	4	15	6922	1	21	SID-06876801-N----{key, tonality}	any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music
n	cabinet	cabinet%1:06:00::	1	4	6900	4	4	SID-02936496-N----{cabinet}	a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display
n	cabinet	cabinet%1:14:00::	2	4	6900	0	4	SID-08398551-N----{cabinet}	persons appointed by a head of state to head executive departments of government and act as official advisers
n	engine	engine%1:06:01::	3	4	6883	1	12	SID-03690149-N----{locomotive, engine, locomotive_engine, railway_locomotive}	a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks
n	engine	engine%1:06:00::	1	4	6883	9	12	SID-03292644-N----{engine}	motor that converts thermal energy to mechanical work
n	administration	administration%1:28:00::	4	6	6865	1	14	SID-15291076-N----{presidency, presidential_term, administration}	the tenure of a president; "things were quiet during the Eisenhower administration"
n	adult	adult%1:18:00::	1	2	6855	5	10	SID-09628463-N----{adult, grownup}	a fully developed person from maturity onward
n	investigation	investigation%1:09:00::	1	2	6838	16	24	SID-05808619-N----{probe, investigation}	an inquiry into unfamiliar or questionable activities; "there was a congressional probe into the scandal"
n	debt	debt%1:21:00::	2	3	6835	3	6	SID-13418347-N----{debt}	money or goods or services owed by one person to another
n	forest	forest%1:17:00::	2	2	6832	2	38	SID-09306921-N----{forest, woodland, timberland, timber}	land that is covered with trees and shrubs
n	visitor	visitor%1:18:00::	1	1	6832	8	8	SID-10776861-N----{visitor, visitant}	someone who visits
n	wood	wood%1:27:00::	1	8	6817	14	24	SID-15122728-N----{wood}	the hard fibrous lignified substance under the bark of trees
n	contrast	contrast%1:24:00::	1	5	6816	23	38	SID-13877824-N----{contrast, direct_contrast}	the opposition or dissimilarity of things that are compared; "in contrast to"; "by contrast"
n	wage	wage%1:21:00::	1	1	6811	70	70	SID-13300285-N----{wage, pay, earnings, remuneration, salary}	something that remunerates; "wages were paid by check"; "he wasted his pay on drink"; "they saved a quarter of all their earnings"
n	threat	threat%1:26:00::	1	4	6767	16	24	SID-14566833-N----{menace, threat}	something that is a source of danger; "earthquakes are a constant threat in Japan"
n	bus	bus%1:06:00::	1	4	6761	2	2	SID-02927500-N----{bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger_vehicle}	a vehicle carrying many passengers; used for public transport; "he always rode the bus to work"
n	regulation	regulation%1:10:00::	1	6	6741	10	12	SID-06676796-N----{regulation, ordinance}	an authoritative rule
n	drink	drink%1:13:00::	3	5	6723	3	27	SID-07897775-N----{beverage, drink, drinkable, potable}	any liquid suitable for drinking; "may I take your beverage order?"
n	drink	drink%1:04:00::	2	5	6723	4	27	SID-00749813-N----{drink, drinking, boozing, drunkenness, crapulence}	the act of drinking alcoholic beverages to excess; "drink was his downfall"
n	relief	relief%1:26:00::	2	11	6721	8	35	SID-14469215-N----{relief, ease}	the condition of being comfortable or relieved (especially after being relieved of distress); "he enjoyed his relief from responsibility"; "getting it off his conscience gave him some ease"
n	tradition	tradition%1:09:02::	2	2	6686	15	43	SID-05675248-N----{custom, tradition}	a specific practice of long standing
n	farmer	farmer%1:18:00::	1	3	6678	29	29	SID-10098586-N----{farmer, husbandman, granger, sodbuster}	a person who operates a farm
n	traffic	traffic%1:14:00::	1	4	6677	13	14	SID-08442260-N----{traffic}	the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time
n	traffic	traffic%1:04:01::	2	4	6677	1	14	SID-01115977-N----{traffic}	buying and selling; especially illicit trade
n	dinner	dinner%1:13:00::	1	2	6667	25	30	SID-07591291-N----{dinner}	the main meal of the day served in the evening or at midday; "dinner will be at 8"; "on Sundays they had a large dinner when they returned from church"
n	consumer	consumer%1:18:00::	1	1	6663	10	10	SID-09635878-N----{consumer}	a person who uses goods or services
n	meal	meal%1:13:00::	1	3	6654	20	20	SID-07589261-N----{meal, repast}	the food served and eaten at one time
n	package	package%1:14:00::	1	3	6646	3	6	SID-08024575-N----{package, bundle, packet, parcel}	a collection of things wrapped or boxed together
n	half	half%1:23:00::	1	2	6639	42	42	SID-13758939-N----{one-half, half}	one of two equal parts of a divisible whole; "half a loaf"; "half an hour"; "a century and one half"
n	improvement	improvement%1:26:00::	3	3	6616	4	18	SID-14445583-N----{improvement, melioration}	a condition superior to an earlier condition; "the new school represents a great improvement"
n	coffee	coffee%1:13:00::	1	4	6614	46	46	SID-07945759-N----{coffee, java}	a beverage consisting of an infusion of ground coffee beans; "he ordered a cup of coffee"
n	appearance	appearance%1:07:00::	1	6	6606	19	27	SID-04681322-N----{appearance, visual_aspect}	outward or visible aspect of a person or thing
n	sheet	sheet%1:06:04::	8	8	6583	0	26	SID-04135005-N----{sail, canvas, canvass, sheet}	a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
n	sheet	sheet%1:10:00::	2	8	6583	11	26	SID-06266354-N----{sheet, piece_of_paper, sheet_of_paper}	paper used for writing or printing
n	sheet	sheet%1:06:00::	3	8	6583	3	26	SID-04195222-N----{sheet, bed_sheet}	bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs
n	category	category%1:09:02::	2	2	6566	3	20	SID-05847274-N----{category}	a general concept that marks divisions or coordinations in a conceptual scheme
n	session	session%1:04:00::	3	4	6545	4	23	SID-01234656-N----{session}	a meeting devoted to a particular activity; "a filming session"; "a gossip session"
n	session	session%1:28:00::	2	4	6545	6	23	SID-15250045-N----{school_term, academic_term, academic_session, session}	the time during which a school holds classes; "they had to shorten the school term"
n	loan	loan%1:21:00::	1	2	6538	19	19	SID-13420126-N----{loan}	the temporary provision of money (usually at interest)
n	museum	museum%1:06:00::	1	1	6516	3	3	SID-03806085-N----{museum}	a depository for collecting and displaying objects having scientific or historical or artistic value
n	conversation	conversation%1:10:00::	1	1	6515	20	20	SID-07148409-N----{conversation}	the use of speech for informal exchange of views or ideas or information etc.
n	link	link%1:06:00::	2	9	6509	5	10	SID-03679297-N----{link, linkup, tie, tie-in}	a fastener that serves to join or connect; "the walls are held together with metal links placed in the wet mortar during construction"
n	victim	victim%1:18:00::	1	2	6501	8	12	SID-10771761-N----{victim}	an unfortunate person who suffers from some adverse circumstance
n	audience	audience%1:14:00::	1	4	6500	60	69	SID-08238818-N----{audience}	a gathering of spectators or listeners at a (usually public) performance; "the audience applauded"; "someone in the audience began to cough"
n	master	master%1:18:00::	1	10	6479	8	17	SID-10299827-N----{maestro, master}	an artist of consummate skill; "a master of the violin"; "one of the old masters"
n	lip	lip%1:06:00::	4	5	6477	0	57	SID-02905554-N----{brim, rim, lip}	the top edge of a vessel or other container
n	lip	lip%1:08:00::	1	5	6477	57	57	SID-05313305-N----{lip}	either of two fleshy folds of tissue that surround the mouth and play a role in speaking
n	exhibition	exhibition%1:14:00::	2	2	6445	4	12	SID-08424576-N----{exhibition, exposition, expo}	a collection of things (goods or works of art etc.) for public display
n	judge	judge%1:18:00::	1	2	6437	6	9	SID-10244889-N----{judge, justice, jurist}	a public official authorized to decide questions brought before a court of justice
n	housing	housing%1:06:00::	1	3	6435	4	4	SID-03551520-N----{housing, lodging, living_accommodations}	structures collectively in which people are housed
n	freedom	freedom%1:26:00::	1	2	6421	26	27	SID-14015308-N----{freedom}	the condition of being free; the power to act or speak or think without externally imposed restraints
n	gentleman	gentleman%1:18:00::	1	2	6420	9	9	SID-10146810-N----{gentleman}	a man of refinement
n	explanation	explanation%1:10:01::	3	3	6409	0	36	SID-07247081-N----{explanation}	the act of explaining; making something plain or intelligible; "I heard his explanation of the accident"
n	middle	middle%1:09:00::	2	4	6363	2	15	SID-05876894-N----{middle}	an intermediate part or section; "A whole is that which has beginning, middle, and end"- Aristotle
n	yard	yard%1:23:00::	1	9	6360	34	47	SID-13672065-N----{yard, pace}	a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
n	yard	yard%1:06:02::	2	9	6360	12	47	SID-04618236-N----{yard, grounds, curtilage}	the enclosed land around a house or other building; "it was a small house with almost no yard"
n	crisis	crisis%1:26:00::	1	2	6352	9	17	SID-13956593-N----{crisis}	an unstable situation of extreme danger or difficulty; "they went bankrupt during the economic crisis"
n	west	west%1:15:00::	1	8	6328	19	35	SID-08700313-N----{West, Occident}	the countries of (originally) Europe and (now including) North America and South America
n	west	west%1:24:00::	2	8	6328	10	35	SID-13856598-N----{west, due_west, westward, W}	the cardinal compass point that is a 270 degrees
n	god	god%1:18:01::	2	4	6297	26	116	SID-09528550-N----{deity, divinity, god, immortal}	any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force
n	favour	favour%1:04:00::	5	5	6289	0	0	SID-01229430-N----{favor, favour}	an act of gracious kindness
n	flat	flat%1:06:02::	5	7	6265	0	3	SID-03364796-N----{flat, flat_tire}	a deflated pneumatic tire
n	flat	flat%1:06:00::	7	7	6265	0	3	SID-02729230-N----{apartment, flat}	a suite of rooms usually on one floor of an apartment house
n	selection	selection%1:10:00::	5	5	6262	0	16	SID-06412153-N----{excerpt, excerption, extract, selection}	a passage selected from a larger work; "he presented excerpts from William James' philosophical writings"
n	selection	selection%1:22:00::	4	5	6262	0	16	SID-13584949-N----{survival, survival_of_the_fittest, natural_selection, selection}	a natural process resulting in the evolution of organisms best adapted to the environment
n	selection	selection%1:14:00::	2	5	6262	2	16	SID-08416775-N----{selection}	an assortment of things from which a choice can be made; "the store carried a large selection of shoes"
n	football	football%1:04:00::	1	2	6261	9	11	SID-00469555-N----{football, football_game}	any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
n	factory	factory%1:06:00::	1	1	6259	18	18	SID-03321351-N----{factory, mill, manufacturing_plant, manufactory}	a plant consisting of one or more buildings with facilities for manufacturing
n	victory	victory%1:11:00::	1	1	6259	42	42	SID-07488581-N----{victory, triumph}	a successful ending of a struggle or contest; "a narrow victory"; "the general always gets credit for his army's victory"; "clinched a victory"; "convincing victory"; "the agreement was a triumph for common sense"
n	examination	examination%1:04:02::	5	5	6232	0	17	SID-00637704-N----{examination, testing}	the act of giving students or candidates a test (as by questions) to determine what they know or have learned
n	egg	egg%1:13:00::	2	3	6220	1	20	SID-07856780-N----{egg, eggs}	oval reproductive body of a fowl (especially a hen) used as food
n	intention	intention%1:04:00::	3	3	6220	0	13	SID-00164054-N----{intention}	an act of intending; a volition that you intend to carry out; "my intention changed once I saw her"
n	aircraft	aircraft%1:06:00::	1	1	6200	15	15	SID-02689427-N----{aircraft}	a vehicle that can fly
n	decade	decade%1:28:00::	1	2	6197	25	25	SID-15229779-N----{decade, decennary, decennium}	a period of 10 years
n	row	row%1:14:00::	1	7	6166	23	28	SID-08448447-N----{row}	an arrangement of objects or people side by side in a line; "a row of chairs"
n	row	row%1:10:00::	2	7	6166	3	28	SID-07198809-N----{quarrel, wrangle, row, words, run-in, dustup}	an angry dispute; "they had a quarrel"; "they had words"
